,movie,overview,preprocessed
134,12 стульев ,Во время революции и последовавшего за ней краткого периода военного коммунизма многие прятали свои ценности как можно надежнее. И вот Ипполит Матвеевич Воробьянинов; бывший Старгородский предводитель дворянства и светский лев; а ныне — скромный делопроизводитель ЗАГСа; узнает от умирающей тещи; что некогда она спрятала свои бриллианты и жемчуга в общей сложности на 150 000 золотых рублей под обивку одного из двенадцати стульев гостиного гарнитура работы известного мастера Гамбса.Бросив все; Воробьянинов бросается на поиски стульев; в чем ему; конечно же; небескорыстно; берется помочь молодой авантюрист; «великий комбинатор» Остап Бендер. Найти следы разрозненного гарнитура непросто. Не облегчает положения и то; что перед смертью теща Воробьянинова открыла тайну сокровищ и своему исповеднику; отцу Федору; всю жизнь мечтавшему о собственном свечном заводике в Самаре…,"['революц', 'последова', 'кратк', 'период', 'воен', 'коммунизм', 'мног', 'прята', 'ценност', 'надежн', 'иппол', 'матвеевич', 'воробьянин', 'бывш', 'старгородск', 'предводител', 'дворянств', 'светск', 'лев', 'нын', 'скромн', 'делопроизводител', 'загс', 'узна', 'умира', 'тещ', 'некогд', 'спрята', 'бриллиант', 'жемчуг', 'общ', 'сложност', 'золот', 'рубл', 'обивк', 'двенадцат', 'стул', 'гостин', 'гарнитур', 'работ', 'известн', 'мастер', 'гамбс', 'брос', 'воробьянин', 'броса', 'поиск', 'стул', 'небескорыстн', 'берет', 'помоч', 'молод', 'авантюрист', 'велик', 'комбинатор', 'остап', 'бендер', 'найт', 'след', 'разрознен', 'гарнитур', 'непрост', 'облегча', 'положен', 'смерт', 'тещ', 'воробьянинов', 'откр', 'тайн', 'сокровищ', 'сво', 'исповедник', 'отц', 'федор', 'мечта', 'собствен', 'свечн', 'заводик', 'самар']"
135,Жизнь Дэвида Гейла ,Дэвид Гейл — человек; который пробовал жить в соответствии со своими принципами; но; в причудливом повороте судьбы; этот преданный отец; популярный профессор и ярый противник смертной казни окажется в камере смертников за убийство активистки Констанции Харравей. За три дня до исполнения приговора Гейл соглашается дать интервью репортеру Битси Блум.Но журналистка вскоре понимает; что ее участие в этом деле не ограничится одним интервью и что жизнь человека находится в ее руках. Поставив на кон свою собственную безопасность; она начинает расследовать те ужасные события; которые окружали смерть Констанции.,"['дэвид', 'гейл', 'пробова', 'жит', 'соответств', 'сво', 'принцип', 'причудлив', 'поворот', 'судьб', 'преда', 'отец', 'популярн', 'профессор', 'яр', 'противник', 'смертн', 'казн', 'окажет', 'камер', 'смертник', 'убийств', 'активистк', 'констанц', 'харрав', 'дня', 'исполнен', 'приговор', 'гейл', 'соглаша', 'дат', 'интерв', 'репортер', 'битс', 'блум', 'журналистк', 'вскор', 'понима', 'участ', 'дел', 'огранич', 'одн', 'интерв', 'человек', 'наход', 'рук', 'постав', 'кон', 'собствен', 'безопасн', 'начина', 'расследова', 'ужасн', 'событ', 'окружа', 'смерт', 'констанц']"
136,Рэй ,История жизни великого американского музыканта Рэя Чарльза. Нищее детство; потеря брата; ранняя слепота; наркотики; женщины; 12 детей; борьба с расизмом; а также незаурядный талант; блестящая карьера и настоящая революция в музыке.,"['истор', 'жизн', 'велик', 'американск', 'музыкант', 'рэ', 'чарльз', 'нищ', 'детств', 'потер', 'брат', 'ран', 'слепот', 'наркотик', 'женщин', 'дет', 'борьб', 'расизм', 'незаурядн', 'талант', 'блестя', 'карьер', 'настоя', 'революц', 'музык']"
137,Шерлок Холмс и доктор Ватсон: Сокровища Агры ,Здесь есть все — таинственные обстоятельства убийства; сверкающие драгоценности; колоритнейшие фигуры. Но главное — в ходе расследования доктор Ватсон встречает женщину; с которой; быть может; надолго свяжет свою жизнь…,"['таинствен', 'обстоятельств', 'убийств', 'сверка', 'драгоцен', 'колоритн', 'фигур', 'главн', 'ход', 'расследован', 'доктор', 'ватсон', 'встреча', 'женщин', 'надолг', 'свяжет']"
138,Терминал ,Фильм рассказывает историю Виктора Наворски; отправившегося в Нью-Йорк из Восточной Европы. Пока Виктор летел в самолете; на его родине произошел государственный переворот. Оказавшись в международном аэропорту имени Джона Кеннеди с паспортом ниоткуда; он не имеет права въехать в Соединенные Штаты и должен коротать свои дни и ночи на скамейках у выхода 67; пока война в его родной стране не закончится.Тянутся недели и месяцы; и Виктор обнаруживает; что небольшой мирок терминала может быть наполнен абсурдом; щедростью; амбициями; развлечениями; желанием сохранить свой статус; интуитивной прозорливостью и даже любовью к очаровательной стюардессе Амелии. Виктору удается завоевать симпатии всех; кроме одного человека — чиновника аэропорта Фрэнка Диксона; который считает его бюрократической ошибкой; проблемой; которую он не может контролировать; но от которой жаждет избавиться.,"['фильм', 'рассказыва', 'истор', 'виктор', 'наворск', 'отправ', 'нью', 'йорк', 'восточн', 'европ', 'виктор', 'летел', 'самолет', 'родин', 'произошел', 'государствен', 'переворот', 'оказа', 'международн', 'аэропорт', 'имен', 'джон', 'кеннед', 'паспорт', 'ниоткуд', 'имеет', 'прав', 'въеха', 'соединен', 'штат', 'долж', 'корота', 'дни', 'ноч', 'скамейк', 'выход', 'войн', 'родн', 'стран', 'законч', 'тянут', 'недел', 'месяц', 'виктор', 'обнаружива', 'небольш', 'мирок', 'термина', 'наполн', 'абсурд', 'щедрост', 'амбиц', 'развлечен', 'желан', 'сохран', 'сво', 'статус', 'интуитивн', 'прозорлив', 'любов', 'очаровательн', 'стюардесс', 'амел', 'виктор', 'уда', 'завоева', 'симпат', 'человек', 'чиновник', 'аэропорт', 'фрэнк', 'диксон', 'счита', 'бюрократическ', 'ошибк', 'проблем', 'котор', 'контролирова', 'жаждет', 'избав']"
139,Самый быстрый Indian ,История жизни знаменитого новозеландца Берта Монро; который потратил десятилетия жизни на переоснащение своего любимого мотоцикла марки «Индиан» 1920 года выпуска с максимальной скоростью в 58 миль/ч в гоночный болид для установления рекорда скорости.,"['истор', 'жизн', 'знаменит', 'новозеландц', 'берт', 'монр', 'потрат', 'десятилет', 'жизн', 'переоснащен', 'любим', 'мотоцикл', 'марк', 'индиа', 'выпуск', 'максимальн', 'скорост', 'мил', 'гоночн', 'болид', 'установлен', 'рекорд', 'скорост']"
140,Назад в будущее 3 ,Из газет 1955 года Марти узнает; что доктор Браун погиб еще сто лет назад. Несмотря на просьбы Дока не навещать его в XIX веке; Марти вновь хочет вмешаться в ход событий и на машине времени уносится в 1885 год; навстречу Дикому Западу. Это путешествие; как и все прежние; не обходится без опасных приключений; но смелый Марти; рискуя жизнью; предотвращает трагедию в жизни Эммета Брауна. Тот; в свою очередь; без памяти влюбляется в очаровательную незнакомку; которую спасает от гибели; и поездка домой — в будущее — теряет для него всякий смысл…,"['газет', 'март', 'узна', 'доктор', 'браун', 'погиб', 'сто', 'несмотр', 'просьб', 'док', 'навеща', 'xix', 'век', 'март', 'внов', 'хочет', 'вмеша', 'ход', 'событ', 'машин', 'унос', 'навстреч', 'дик', 'запад', 'путешеств', 'прежн', 'обход', 'опасн', 'приключен', 'смел', 'март', 'риску', 'жизн', 'предотвраща', 'трагед', 'жизн', 'эммет', 'браун', 'очеред', 'памят', 'влюбля', 'очаровательн', 'незнакомк', 'котор', 'спаса', 'гибел', 'поездк', 'дом', 'будущ', 'теря', 'всяк', 'смысл']"
141,Умница Уилл Хантинг ,Уилл Хантинг — 20-летний вундеркинд из Бостона; который то и дело ввязывается в неприятные истории. И когда полиция арестовывает его за очередную драку; профессор математики берет его под свою опеку; но при одном условии: Уилл должен пройти курс психотерапии. Сеансы «перевоспитания»; начавшиеся с недоверия; постепенно перерастают в дружбу между Уиллом и его наставником.,"['уилл', 'хантинг', 'летн', 'вундеркинд', 'бостон', 'дел', 'ввязыва', 'неприятн', 'истор', 'полиц', 'арестовыва', 'очередн', 'драк', 'профессор', 'математик', 'берет', 'опек', 'одн', 'услов', 'уилл', 'долж', 'пройт', 'курс', 'психотерап', 'сеанс', 'перевоспитан', 'нача', 'недовер', 'постепен', 'перераста', 'дружб', 'уилл', 'наставник']"
142,Славные парни ,История о Генри Хилле — начинающем гангстере; занимающемся грабежами вместе с подельниками Джими Конвеем и Томми Де Вито; которые с легкостью убивают любого; кто встаёт у них на пути.,"['истор', 'генр', 'хилл', 'начина', 'гангстер', 'занима', 'грабеж', 'вмест', 'подельник', 'джим', 'конве', 'томм', 'вит', 'легкост', 'убива', 'люб', 'встает', 'пут']"
143,Пираты Карибского моря: Сундук мертвеца ,Вновь оказавшись в ирреальном мире; лихой капитан Джек Воробей неожиданно узнает; что является должником легендарного капитана «Летучего Голландца» Дэйви Джонса. Джек должен в кратчайшие сроки решить эту проблему; иначе ему грозит вечное проклятие и рабское существование после смерти. Вдобавок ко всему; срывается свадьба Уилла Тернера и Элизабет Суонн; которые вынуждены составить Джеку компанию в его злоключениях…,"['внов', 'оказа', 'ирреальн', 'мир', 'лих', 'капита', 'джек', 'вороб', 'неожида', 'узна', 'явля', 'должник', 'легендарн', 'капита', 'летуч', 'голландц', 'дэйв', 'джонс', 'джек', 'долж', 'кратчайш', 'срок', 'реш', 'пробл', 'инач', 'гроз', 'вечн', 'проклят', 'рабск', 'существован', 'смерт', 'вдобавок', 'срыва', 'свадьб', 'уилл', 'тернер', 'элизабет', 'суон', 'вынужд', 'состав', 'джек', 'компан', 'злоключен']"
144,Лицо со шрамом ,Весной 1980 года был открыт порт Мэйриэл Харбор; и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство; власть и страсть превзошли даже самые невероятные его мечты. Его звали Тони Монтана. Мир запомнил его под другим именем — «Лицо со шрамом»…,"['весн', 'откр', 'порт', 'мэйриэл', 'харбор', 'тысяч', 'кубинск', 'беженц', 'ринул', 'соединен', 'штат', 'поиск', 'американск', 'мечт', 'нашел', 'залит', 'солнц', 'улиц', 'май', 'богатств', 'власт', 'страст', 'превзошл', 'сам', 'невероятн', 'мечт', 'звал', 'тон', 'монта', 'мир', 'запомн', 'друг', 'имен', 'лиц', 'шрам']"
145,На несколько долларов больше ,Заработать несколько лишних долларов честным путем на диком Западе не проблема; если у тебя есть проверенный кольт и разрешение властей на отстрел бандитов. Этим путем и идут бок о бок профессиональные охотники за головами негодяев «Человек без имени» и полковник Мортимер; общая цель которых — преступная банда мексиканца Индио.,"['заработа', 'лишн', 'доллар', 'честн', 'пут', 'дик', 'запад', 'проблем', 'проверен', 'кольт', 'разрешен', 'власт', 'отстрел', 'бандит', 'пут', 'идут', 'бок', 'бок', 'профессиональн', 'охотник', 'голов', 'негодя', 'имен', 'полковник', 'мортимер', 'общ', 'цел', 'преступн', 'банд', 'мексиканц', 'инд']"
146,Ледниковый период ,Действие разворачивается 20 тыс. лет назад. Чтобы избежать приближающегося из-за наступления ледникового периода холода; животные мигрируют на юг. Однако некоторые из них всё-таки решают остаться — одинокий; угрюмый мамонт Манфред; а также бесшабашный ленивец Сид.Случайно эта парочка наталкивается на человеческого детёныша. Они решаются вернуть его людям и отправляются в путешествие. По пути они встречают саблезубого хитрого тигра. И теперь этой веселой компании предстоят забавные приключения!,"['действ', 'разворачива', 'тыс', 'избежа', 'приближа', 'наступлен', 'ледников', 'период', 'холод', 'животн', 'мигрир', 'некотор', 'так', 'реша', 'оста', 'одинок', 'угрюм', 'мамонт', 'манфред', 'бесшабашн', 'ленивец', 'сид', 'случайн', 'парочк', 'наталкива', 'человеческ', 'детеныш', 'реша', 'вернут', 'люд', 'отправля', 'путешеств', 'пут', 'встреча', 'саблезуб', 'хитр', 'тигр', 'весел', 'компан', 'предсто', 'забавн', 'приключен']"
147,Головоломка ,Райли — обычная 11-летняя школьница; и; как у каждого из нас; ее поведение определяют пять базовых эмоций: Радость; Печаль; Страх; Гнев и Брезгливость. Эмоции живут в сознании девочки и каждый день помогают ей справляться с проблемами; руководя всеми ее поступками. До поры до времени эмоции живут дружно; но вдруг оказывается; что Райли и ее родителям предстоит переезд из небольшого уютного городка в шумный и людный мегаполис. Каждая из эмоций считает; что именно она лучше прочих знает; что нужно делать в этой непростой ситуации; и в голове у девочки наступает полная неразбериха. Чтобы наладить жизнь в большом городе; освоиться в новой школе и подружиться с одноклассниками; эмоциям Райли предстоит снова научиться работать сообща.,"['райл', 'обычн', 'летн', 'школьниц', 'кажд', 'поведен', 'определя', 'базов', 'эмоц', 'радост', 'печал', 'страх', 'гнев', 'брезглив', 'эмоц', 'живут', 'сознан', 'девочк', 'помога', 'справля', 'проблем', 'руковод', 'поступк', 'пор', 'эмоц', 'живут', 'дружн', 'оказыва', 'райл', 'родител', 'предсто', 'переезд', 'небольш', 'уютн', 'городк', 'шумн', 'людн', 'мегаполис', 'эмоц', 'счита', 'проч', 'знает', 'дела', 'непрост', 'ситуац', 'голов', 'девочк', 'наступа', 'полн', 'неразберих', 'налад', 'больш', 'город', 'осво', 'нов', 'школ', 'подруж', 'одноклассник', 'эмоц', 'райл', 'предсто', 'науч', 'работа', 'сообщ']"
148,Король говорит! ,Сюжет ленты расскажет о герцоге; который готовится вступить в должность британского короля Георга VI; отца нынешней королевы Елизаветы II. После того; как его брат отрекается от престола; герой неохотно соглашается на трон. Измученный страшным нервным заиканием и сомнениями в своих способностях руководить страной; Георг обращается за помощью к неортодоксальному логопеду по имени Лайонел Лог.,"['сюжет', 'лент', 'расскажет', 'герцог', 'готов', 'вступ', 'должност', 'британск', 'корол', 'георг', 'отц', 'нынешн', 'королев', 'елизавет', 'брат', 'отрека', 'престол', 'гер', 'неохотн', 'соглаша', 'трон', 'измучен', 'страшн', 'нервн', 'заикан', 'сомнен', 'способн', 'руковод', 'стран', 'георг', 'обраща', 'помощ', 'неортодоксальн', 'логопед', 'имен', 'лайонел', 'лог']"
149,Блеф ,Белль Дюк имеет старые счеты с Филиппом Бэнгом; который отбывает свой срок за решёткой. Для того чтобы поквитаться с Филиппом; Белль Дюк вступает в сговор с другим аферистом по имени Феликс; чтобы тот организовал побег Филиппа Бенга из тюрьмы.Побег удаётся; но парочка заодно обманывает и Белль Дюк; исчезнув прямо из-под её носа. Выясняется; что и Филипп Бэнг; в свою очередь; не прочь отомстить Белль Дюк. Для этого он задумывает грандиозную мистификацию; сродни покерному блефу…,"['белл', 'дюк', 'имеет', 'стар', 'счет', 'филипп', 'бэнг', 'отбыва', 'сво', 'срок', 'решетк', 'поквита', 'филипп', 'белл', 'дюк', 'вступа', 'сговор', 'друг', 'аферист', 'имен', 'феликс', 'организова', 'побег', 'филипп', 'бенг', 'тюрьм', 'побег', 'уда', 'парочк', 'заодн', 'обманыва', 'белл', 'дюк', 'исчезнув', 'прям', 'нос', 'выясня', 'филипп', 'бэнг', 'очеред', 'проч', 'отомст', 'белл', 'дюк', 'задумыва', 'грандиозн', 'мистификац', 'сродн', 'покерн', 'блеф']"
150,Ромео и Джульетта ,На балу во дворце Капулетти зарождается любовь двух юных существ; судьбою обреченных на ненависть. Ромео Монтекки и Джульетта Капулетти полюбили друг друга на свою беду; ведь их семьи ведут смертельную вражду уже многие; многие годы…Но их любовь сильнее родовой вражды; сильнее предрассудков и непреодолимых препятствий. Великая сила этой любви побеждает все; даже смерть…,"['бал', 'дворц', 'капулетт', 'зарожда', 'любов', 'юн', 'существ', 'судьб', 'обречен', 'ненавист', 'роме', 'монтекк', 'джульетт', 'капулетт', 'полюб', 'друг', 'друг', 'бед', 'сем', 'ведут', 'смертельн', 'вражд', 'мног', 'мног', 'год', 'любов', 'сильн', 'родов', 'вражд', 'сильн', 'предрассудк', 'непреодолим', 'препятств', 'велик', 'сил', 'любв', 'побежда', 'смерт']"
151,Перед классом ,С шести лет Брэд страдает синдромом Туретта. Его симптомы — частые моторные и вокальные тики; которые невозможно подавить. Тем не менее Брэд бросает вызов всем барьерам и неприятностям; и даже двадцать четыре отказа подряд не останавливают его на пути к мечте стать учителем.,"['шест', 'брэд', 'страда', 'синдром', 'туретт', 'симптом', 'част', 'моторн', 'вокальн', 'тик', 'невозможн', 'подав', 'брэд', 'броса', 'выз', 'барьер', 'неприятн', 'отказ', 'подряд', 'останавлива', 'пут', 'мечт', 'стат', 'учител']"
152,Планета Ка-Пэкс ,"В Манхэттенский психиатрический институт привозят странного человека в черных очках. Он зовет себя Протом и утверждает; что его родина — далекая планета Ка-Пэкс; откуда он мгновенно перенесся на Землю в луче света. Несмотря на все усилия; опытному доктору Пауэллу не удается разгадать загадку таинственного пациента; который охотно и весьма убедительно доказывает всем свое внеземное происхождение и заранее назначает дату своего возвращения на Ка-Пэкс. 

Вскоре Марка Пауэлла; так и не сумевшего приоткрыть тайну личности своего самого удивительного подопечного; начинает тревожить невероятная; но навязчивая мысль: может быть; Прот вовсе не сумасшедший и в его словах есть доля правды…","['манхэттенск', 'психиатрическ', 'институт', 'привоз', 'стран', 'человек', 'черн', 'очк', 'зовет', 'прот', 'утвержда', 'родин', 'далек', 'планет', 'пэкс', 'откуд', 'мгновен', 'перенес', 'земл', 'луч', 'свет', 'несмотр', 'усил', 'опытн', 'доктор', 'пауэлл', 'уда', 'разгада', 'загадк', 'таинствен', 'пациент', 'охотн', 'весьм', 'убедительн', 'доказыва', 'внеземн', 'происхожден', 'заран', 'назнача', 'дат', 'возвращен', 'пэкс', 'вскор', 'марк', 'пауэлл', 'сумевш', 'приоткр', 'тайн', 'личност', 'удивительн', 'подопечн', 'начина', 'тревож', 'невероятн', 'навязчив', 'мысл', 'прот', 'вовс', 'сумасшедш', 'слов', 'дол', 'правд']"
153,Золотой теленок ,«Великий комбинатор» Остап Бендер с детства мечтает о Рио-де-Жанейро. Ему известны множество способов «сравнительно честного отъема денег у граждан». Но — где же в Советской России найти гражданина; обладающего хотя бы полумиллионом рублей? И вот подпольный миллионер; выдающий себя за скромного служащего на нищенском жалованьи; найден.И должен сам принести деньги Остапу «на блюдечке с голубой каемочкой». Как же великий комбинатор добьется этого? Сбудется ли мечта его детства? Об этом расскажет зрителю этот фильм с великолепным актерским ансамблем — Сергей Юрский; Леонид Куравлев; Зиновий Гердт; Евгений Евстигнеев…,"['велик', 'комбинатор', 'остап', 'бендер', 'детств', 'мечта', 'ри', 'жанейр', 'известн', 'множеств', 'способ', 'сравнительн', 'честн', 'отъем', 'денег', 'гражда', 'советск', 'росс', 'найт', 'гражданин', 'облада', 'полумиллион', 'рубл', 'подпольн', 'миллионер', 'выда', 'скромн', 'служа', 'нищенск', 'жалован', 'найд', 'долж', 'принест', 'деньг', 'остап', 'блюдечк', 'голуб', 'каемочк', 'велик', 'комбинатор', 'добьет', 'сбудет', 'мечт', 'детств', 'расскажет', 'зрител', 'фильм', 'великолепн', 'актерск', 'ансамбл', 'серг', 'юрск', 'леонид', 'куравл', 'зинов', 'гердт', 'евген', 'евстигне']"
154,Шерлок Холмс ,Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку; требующую нешуточной физической и умственной подготовки; ведь их враг представляет угрозу для всего Лондона.,"['величайш', 'истор', 'сыщик', 'шерлок', 'холмс', 'вмест', 'сво', 'верн', 'соратник', 'ватсон', 'вступа', 'схватк', 'треб', 'нешуточн', 'физическ', 'умствен', 'подготовк', 'враг', 'представля', 'угроз', 'лондон']"
155,Амели ,Знаете ли вы; что все события; происходящие в нашем мире; даже самые незначительные; взаимосвязаны самым удивительным и чудесным образом?Как полет крошечной мухи может вызвать где-то далеко мощный ураган; так и странные и; на первый взгляд; непонятные поступки тихой и одинокой девушки; живущей в мире своих фантазий; могут навсегда изменить жизнь совершенно разных людей; подарив им счастье и раскрасив окружающий мир яркими; головокружительными красками. Эту девушку зовут Амели Пулен.,"['знает', 'событ', 'происходя', 'наш', 'мир', 'сам', 'незначительн', 'взаимосвяза', 'сам', 'удивительн', 'чудесн', 'образ', 'полет', 'крошечн', 'мух', 'вызва', 'мощн', 'урага', 'стран', 'взгляд', 'непонятн', 'поступк', 'тих', 'одинок', 'девушк', 'живущ', 'мир', 'фантаз', 'навсегд', 'измен', 'совершен', 'разн', 'люд', 'подар', 'счаст', 'раскрас', 'окружа', 'мир', 'ярк', 'головокружительн', 'краск', 'девушк', 'зовут', 'амел', 'пул']"
156,Семь самураев ,Япония; XVI век. В стране полыхает гражданская война; повсюду орудуют банды разбойников и мародеров. Бедные крестьяне нанимают для защиты деревни семерых самураев; которые немного сплачивают раздробленных и малодушных селян в процессе подготовки и укрепления деревни.,"['япон', 'xvi', 'век', 'стран', 'полыха', 'гражданск', 'войн', 'повсюд', 'оруд', 'банд', 'разбойник', 'мародер', 'бедн', 'крестьян', 'нанима', 'защит', 'деревн', 'семер', 'самура', 'сплачива', 'раздроблен', 'малодушн', 'селя', 'процесс', 'подготовк', 'укреплен', 'деревн']"
157,В случае убийства набирайте «М» ,Тони Вендис; бывший плейбой и звезда большого тенниса; прожигающий деньги своей красавицы-жены Марго; решается на преступление; когда узнает; что может лишиться ее миллионов; так как Марго увлеклась американским писателем детективных романов Марком Холлидэем.Тони придумывает план идеального убийства; находит надежного исполнителя и организует себе безупречное алиби. Он предусматривает все; кроме необычного поведения Марго и аналитических способностей Марка…,"['тон', 'вендис', 'бывш', 'плейб', 'звезд', 'больш', 'теннис', 'прожига', 'деньг', 'красавиц', 'жен', 'марг', 'реша', 'преступлен', 'узна', 'лиш', 'марг', 'увлекл', 'американск', 'писател', 'детективн', 'роман', 'марк', 'холлидэ', 'тон', 'придумыва', 'план', 'идеальн', 'убийств', 'наход', 'надежн', 'исполнител', 'организ', 'безупречн', 'алиб', 'предусматрива', 'необычн', 'поведен', 'марг', 'аналитическ', 'способн', 'марк']"
158,Нюрнбергский процесс ,В Нюрнберге идет процесс над нацистскими преступниками. Слушаются дела юристов; служивших нацистскому режиму. Главный обвиняемый — известный немецкий судья Эрнст Янинг; добившийся уважения в Германии задолго до прихода к власти Гитлера. Дело ведет опытный американский судья Ден Хэйвуд; которому предстоит разобраться в этом сложном и неоднозначном деле; ведь на кону стоит не столько жизнь и честь человека; сколько послевоенная жизнь и честь всего немецкого народа.,"['нюрнберг', 'идет', 'процесс', 'нацистск', 'преступник', 'слуша', 'дел', 'юрист', 'служ', 'нацистск', 'режим', 'главн', 'обвиня', 'известн', 'немецк', 'суд', 'эрнст', 'янинг', 'доб', 'уважен', 'герман', 'задолг', 'приход', 'власт', 'гитлер', 'дел', 'ведет', 'опытн', 'американск', 'суд', 'ден', 'хэйвуд', 'котор', 'предсто', 'разобра', 'сложн', 'неоднозначн', 'дел', 'кон', 'сто', 'стольк', 'чест', 'человек', 'послевоен', 'чест', 'немецк', 'народ']"
159,Бешеные псы ,Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин; криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого начала все пошло не так; и обычный грабеж превратился в кровавую бойню.,"['стат', 'идеальн', 'преступлен', 'задума', 'ограб', 'ювелирн', 'магазин', 'криминальн', 'босс', 'джо', 'кэбот', 'собра', 'вмест', 'шестер', 'опытн', 'совершен', 'незнаком', 'друг', 'друг', 'преступник', 'пошл', 'обычн', 'грабеж', 'преврат', 'кровав', 'бойн']"
160,Заплати другому ,Представьте себе — Вы оказываете кому-либо существенную услугу и просите этого человека отблагодарить не Вас; а трёх других людей; которые; в свою очередь; отблагодарят ещё троих; и так далее; распространяя тепло и доброту в мировом масштабе. Насколько действенной может оказаться подобная сердечная идея? Ученик седьмого класса Тревор МакКинни решил это проверить; начав цепочку добра.,"['представьт', 'оказыва', 'либ', 'существен', 'услуг', 'прос', 'человек', 'отблагодар', 'трех', 'люд', 'очеред', 'отблагодар', 'тро', 'дал', 'распростран', 'тепл', 'доброт', 'миров', 'масштаб', 'наскольк', 'действен', 'оказа', 'подобн', 'сердечн', 'иде', 'ученик', 'седьм', 'класс', 'тревор', 'маккин', 'реш', 'провер', 'нача', 'цепочк', 'добр']"
161,Корпорация монстров ,Склизкий гад в сливном бачке; мохнатый зверь; похожий на чудовище из «Аленького цветочка»; гигантские мокрицы под кроватью — все они существуют на самом деле. Все; что им нужно — пугать детей; потому что из детских криков они получают электричество.Полнометражный мультфильм рассказывает о кризисах в мире монстров; их жизни. Но однажды вся мирная жизнь монстров оказывается под угрозой: в их мир попадает ребенок. А с детьми столько хлопот; что они могут довести даже монстров.,"['склизк', 'гад', 'сливн', 'бачк', 'мохнат', 'звер', 'похож', 'чудовищ', 'аленьк', 'цветочк', 'гигантск', 'мокриц', 'кроват', 'существ', 'дел', 'пуга', 'дет', 'детск', 'крик', 'получа', 'электричеств', 'полнометражн', 'мультфильм', 'рассказыва', 'кризис', 'мир', 'монстр', 'жизн', 'мирн', 'монстр', 'оказыва', 'угроз', 'мир', 'попада', 'ребенок', 'детьм', 'стольк', 'хлопот', 'довест', 'монстр']"
162,Вам и не снилось... ,Школьники Роман и Катя тянутся друг к другу со всей безоглядностью первой любви. Мать Кати очень счастлива во втором браке и в озарении этого счастья хорошо понимает дочь. Роман находит поддержку у отца; давно и безответно любящего Катину маму. Но рядом ходят люди; ничего не знающие о любви…,"['школьник', 'рома', 'кат', 'тянут', 'друг', 'друг', 'все', 'безоглядн', 'перв', 'любв', 'мат', 'кат', 'счастлив', 'втор', 'брак', 'озарен', 'счаст', 'понима', 'доч', 'рома', 'наход', 'поддержк', 'отц', 'безответн', 'любя', 'катин', 'мам', 'ход', 'знающ', 'любв']"
163,Вечное сияние чистого разума ,Застенчивый и меланхоличный Джоэл живёт ничем не примечательной серой и унылой жизнью. Но однажды вместо привычного рабочего маршрута молодой человек вдруг садится на электричку в другом направлении и устремляется к морю. На песчаном берегу Джоэл замечает девушку с ярко-синими волосами. На обратном пути они знакомятся в вагоне электрички и парень понимает; что у них с Клементиной очень много общего; как будто он уже знает эту девушку. Совсем скоро Джоэл поймёт; что действительно был знаком с ней; более того — они были парой.,"['застенчив', 'меланхоличн', 'джоэл', 'живет', 'нич', 'примечательн', 'сер', 'уныл', 'жизн', 'вмест', 'привычн', 'рабоч', 'маршрут', 'молод', 'сад', 'электричк', 'друг', 'направлен', 'устремля', 'мор', 'песчан', 'берег', 'джоэл', 'замеча', 'девушк', 'ярк', 'син', 'волос', 'обратн', 'пут', 'знаком', 'вагон', 'электричк', 'парен', 'понима', 'клементин', 'общ', 'знает', 'девушк', 'скор', 'джоэл', 'поймет', 'знак', 'пар']"
